City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Wajir,KE,2020-11-09 05:37:31,1.75,40.06,77.0,88,75,9.84
234,Coromandel,BR,2020-11-09 05:37:31,-18.47,-47.2,66.54,88,22,3.56
235,Ayorou,NE,2020-11-09 05:37:32,14.73,0.92,72.46,22,69,8.68
236,Olafsvik,IS,2020-11-09 05:34:30,64.89,-23.71,43.02,76,100,19.42
237,Whitehorse,CA,2020-11-09 05:37:32,60.72,-135.05,32.0,94,75,17.22
238,Dawlatabad,AF,2020-11-09 05:37:32,36.41,64.91,52.9,67,98,7.92
239,Iqaluit,CA,2020-11-09 05:36:01,63.75,-68.51,15.8,85,90,25.28
240,Southbridge,US,2020-11-09 05:37:32,42.08,-72.03,62.6,42,1,11.41
241,Manggar,ID,2020-11-09 05:37:32,-2.88,108.27,85.23,66,99,8.88
242,Hofn,IS,2020-11-09 05:37:33,64.25,-15.21,41.88,88,100,13.71
243,Solton,RU,2020-11-09 05:37:33,52.84,86.48,38.82,93,100,7.09
244,Sao Joao Da Barra,BR,2020-11-09 05:37:33,-21.64,-41.05,73.87,95,99,2.95
245,Victoria,HK,2020-11-09 05:37:34,22.29,114.16,82.99,47,20,1.99
246,Shingu,JP,2020-11-09 05:37:34,33.73,135.98,60.8,48,40,18.34
247,Taoudenni,ML,2020-11-09 05:37:34,22.68,-3.98,74.35,19,74,7.96
248,Lebu,CL,2020-11-09 05:37:34,-37.62,-73.65,51.19,93,59,16.15
249,Urengoy,RU,2020-11-09 05:37:35,65.97,78.37,19.65,97,100,12.35
250,Tabory,RU,2020-11-09 05:37:35,58.52,64.55,31.46,97,100,9.33
251,Kloulklubed,PW,2020-11-09 05:37:35,7.04,134.26,86.0,74,75,8.05
252,Sioux Lookout,CA,2020-11-09 05:37:35,50.1,-91.92,59.0,72,75,10.29
253,Dunedin,NZ,2020-11-09 05:37:35,-45.87,170.5,52.0,76,100,4.0
254,Qaanaaq,GL,2020-11-09 05:37:36,77.48,-69.36,-7.91,71,0,7.87
255,Rock Sound,BS,2020-11-09 05:37:36,24.9,-76.2,79.27,83,95,27.2
256,Alto Longa,BR,2020-11-09 05:37:36,-5.25,-42.21,76.14,80,40,2.13
257,Panaba,MX,2020-11-09 05:37:36,21.28,-88.27,73.85,91,41,7.7
258,Haines Junction,CA,2020-11-09 05:37:36,60.75,-137.51,37.4,64,99,10.29
259,Tay Ninh,VN,2020-11-09 05:37:37,11.3,106.1,86.77,61,94,12.28
260,Muroto,JP,2020-11-09 05:37:37,33.28,134.15,64.4,36,20,14.99
261,Bathsheba,BB,2020-11-09 05:37:37,13.22,-59.52,80.6,83,40,12.75
262,Hirara,JP,2020-11-09 05:37:37,24.8,125.28,73.4,69,75,16.11
263,Tura,IN,2020-11-09 05:37:38,25.52,90.22,81.61,49,0,2.13
264,Ostrovnoy,RU,2020-11-09 05:37:38,68.05,39.51,30.6,96,100,17.25
265,Vilhena,BR,2020-11-09 05:37:38,-12.74,-60.15,69.73,90,100,2.68
266,Hokitika,NZ,2020-11-09 05:37:39,-42.72,170.97,59.88,63,0,8.32
